Provincia,Localidad,Cantidad,Latitud,Longitud,direccion_completa
Provincia de Buenos Aires,CURVA DE BERRAYMUNDO,1,,,"Provincia de Buenos Aires, CURVA DE BERRAYMUNDO"
Provincia de Buenos Aires,Carhue,1,-37.1799683,-62.7494197,"Provincia de Buenos Aires, Carhue"
Provincia de Buenos Aires,Carmen de Areco,1,-34.3766574,-59.8227267,"Provincia de Buenos Aires, Carmen de Areco"
Provincia de Buenos Aires,Carmende Patagones,1,,,"Provincia de Buenos Aires, Carmende Patagones"
Provincia de Buenos Aires,Casbas,1,-36.7575346,-62.5048118,"Provincia de Buenos Aires, Casbas"
Provincia de Buenos Aires,DEL PILAR,1,-35.9221586,-61.8135092,"Provincia de Buenos Aires, DEL PILAR"
Provincia de Buenos Aires,DELTA DEL TIGRE,1,,,"Provincia de Buenos Aires, DELTA DEL TIGRE"
Provincia de Buenos Aires,DELTA TIGRE,1,-34.4256898,-58.5771794,"Provincia de Buenos Aires, DELTA TIGRE"
Provincia de Buenos Aires,DELVISO,1,,,"Provincia de Buenos Aires, DELVISO"
Provincia de Buenos Aires,DONSELAR,1,,,"Provincia de Buenos Aires, DONSELAR"
Provincia de Buenos Aires,DOOMSELARR,1,,,"Provincia de Buenos Aires, DOOMSELARR"
Provincia de Buenos Aires,DUDIGNAC,1,-35.6500558,-60.7094557,"Provincia de Buenos Aires, DUDIGNAC"
Provincia de Buenos Aires,Delta,1,-34.4185467,-58.5768043,"Provincia de Buenos Aires, Delta"
Provincia de Buenos Aires,EL PATO,1,-34.8950825,-58.1815355,"Provincia de Buenos Aires, EL PATO"
Provincia de Buenos Aires,EL REMANSO,1,-34.3915807,-59.0811437,"Provincia de Buenos Aires, EL REMANSO"
Provincia de Buenos Aires,EMPALME LOBOS,1,-35.1719388,-59.1019044,"Provincia de Buenos Aires, EMPALME LOBOS"
Provincia de Buenos Aires,ERNESTINA,1,-35.2705077,-59.5574743,"Provincia de Buenos Aires, ERNESTINA"
Provincia de Buenos Aires,ESPORA,1,-34.5252699,-59.5744227,"Provincia de Buenos Aires, ESPORA"
Provincia de Buenos Aires,ESTACION GOMEZ,1,-34.6966623,-58.6466401,"Provincia de Buenos Aires, ESTACION GOMEZ"
Provincia de Buenos Aires,EZPELETA OESTE,1,-34.7556436,-58.2651091,"Provincia de Buenos Aires, EZPELETA OESTE"
Provincia de Buenos Aires,JUAN JOSE PASO,1,-35.8548453,-62.2967605,"Provincia de Buenos Aires, JUAN JOSE PASO"
Provincia de Buenos Aires,JUAN N FERNANDEZ,1,-37.9981668,-57.6065077,"Provincia de Buenos Aires, JUAN N FERNANDEZ"
Provincia de Buenos Aires,Juan Maria Gutierrez,1,-34.8339639,-58.1856131,"Provincia de Buenos Aires, Juan Maria Gutierrez"
Provincia de Buenos Aires,Junin,1,-34.5934412,-60.9461678,"Provincia de Buenos Aires, Junin"
Provincia de Buenos Aires,Mercedes,1,-34.6506717,-59.4317202,"Provincia de Buenos Aires, Mercedes"
Provincia de Buenos Aires,Miramar,1,-38.2704349,-57.8387997,"Provincia de Buenos Aires, Miramar"
Provincia de Buenos Aires,Moron,1,-34.6510527,-58.6217416,"Provincia de Buenos Aires, Moron"
Provincia de Buenos Aires,NORBERTO DE LA RIESTRA,1,-35.2733308,-59.7755468,"Provincia de Buenos Aires, NORBERTO DE LA RIESTRA"
Provincia de Buenos Aires,Nueve de Julio,1,-35.4444766,-60.8841726,"Provincia de Buenos Aires, Nueve de Julio"
Provincia de Buenos Aires,Olivos,1,-34.5110708,-58.4901197,"Provincia de Buenos Aires, Olivos"
